2219Temp+Humid,Time,Celsius(°C),Humidity(%rh),Dew Point(°C),Comments,Serial Number
56,09/25/20 0:40,23,48.5,11.6,,
57,09/25/20 0:50,23,48.5,11.6,,
58,09/25/20 1:00,23,48.5,11.6,,
59,09/25/20 1:10,23,48.5,11.6,,
60,09/25/20 1:20,22.5,49,11.3,,
61,09/25/20 1:30,22.5,49,11.3,,
62,09/25/20 1:40,22.5,49.5,11.4,,
63,09/25/20 1:50,22.5,49.5,11.4,,
64,09/25/20 2:00,22.5,49.5,11.4,,
65,09/25/20 2:10,22.5,49.5,11.4,,
66,09/25/20 2:20,22.5,50,11.6,,
67,09/25/20 2:30,22.5,50,11.6,,
68,09/25/20 2:40,22.5,50,11.6,,
69,09/25/20 2:50,22.5,50,11.6,,
70,09/25/20 3:00,22.5,50,11.6,,
71,09/25/20 3:10,22.5,50,11.6,,
72,09/25/20 3:20,22,50,11.1,,
73,09/25/20 3:30,22,50,11.1,,
74,09/25/20 3:40,22,50,11.1,,
75,09/25/20 3:50,22,50.5,11.3,,
76,09/25/20 4:00,22,50.5,11.3,,
77,09/25/20 4:10,22,50.5,11.3,,
78,09/25/20 4:20,22,50.5,11.3,,
79,09/25/20 4:30,22,50.5,11.3,,
80,09/25/20 4:40,22,50.5,11.3,,
81,09/25/20 4:50,22,51,11.4,,
82,09/25/20 5:00,22,51,11.4,,
83,09/25/20 5:10,22,51,11.4,,
84,09/25/20 5:20,22,51,11.4,,
85,09/25/20 5:30,22,51,11.4,,
86,09/25/20 5:40,22,51,11.4,,
87,09/25/20 5:50,22,51,11.4,,
88,09/25/20 6:00,22,51.5,11.6,,
89,09/25/20 6:10,22,51.5,11.6,,
90,09/25/20 6:20,22,51.5,11.6,,
91,09/25/20 6:30,22,51.5,11.6,,
92,09/25/20 6:40,22,51.5,11.6,,
93,09/25/20 6:50,22,51.5,11.6,,
94,09/25/20 7:00,22,51.5,11.6,,
95,09/25/20 7:10,22,51.5,11.6,,
96,09/25/20 7:20,22,51.5,11.6,,
97,09/25/20 7:30,22,51.5,11.6,,
98,09/25/20 7:40,22,51.5,11.6,,
99,09/25/20 7:50,22,51.5,11.6,,
100,09/25/20 8:00,22,51.5,11.6,,
101,09/25/20 8:10,22,51.5,11.6,,
102,09/25/20 8:20,22,52,11.7,,
103,09/25/20 8:30,22,52,11.7,,
104,09/25/20 8:40,22.5,52,12.2,,
105,09/25/20 8:50,22.5,51.5,12,,
106,09/25/20 9:00,22.5,51.5,12,,
107,09/25/20 9:10,22.5,51,11.9,,
108,09/25/20 9:20,23,50,12,,
109,09/25/20 9:30,23.5,49,12.2,,
110,09/25/20 9:40,24,48,12.3,,
111,09/25/20 9:50,24,48,12.3,,
112,09/25/20 10:00,24.5,47.5,12.6,,
113,09/25/20 10:10,24,48,12.3,,
114,09/25/20 10:20,23.5,49,12.2,,
115,09/25/20 10:30,23,49.5,11.9,,
116,09/25/20 10:40,23,50,12,,
117,09/25/20 10:50,23,51,12.3,,
118,09/25/20 11:00,23,51,12.3,,
119,09/25/20 11:10,23,51,12.3,,
120,09/25/20 11:20,23,51,12.3,,
121,09/25/20 11:30,23,51,12.3,,
122,09/25/20 11:40,23,51,12.3,,
123,09/25/20 11:50,23,51,12.3,,
124,09/25/20 12:00,23,51.5,12.5,,
125,09/25/20 12:10,23,51,12.3,,
126,09/25/20 12:20,23,51.5,12.5,,
127,09/25/20 12:30,23,51.5,12.5,,
128,09/25/20 12:40,22.5,51.5,12,,
129,09/25/20 12:50,22.5,51.5,12,,
130,09/25/20 13:00,22.5,51.5,12,,
131,09/25/20 13:10,22.5,51.5,12,,
132,09/25/20 13:20,22.5,51.5,12,,
133,09/25/20 13:30,22.5,51.5,12,,
134,09/25/20 13:40,22.5,51.5,12,,
135,09/25/20 13:50,22.5,51.5,12,,
136,09/25/20 14:00,22.5,51.5,12,,
137,09/25/20 14:10,22.5,52,12.2,,
138,09/25/20 14:20,22.5,52,12.2,,
139,09/25/20 14:30,22.5,52,12.2,,
140,09/25/20 14:40,22.5,52,12.2,,
141,09/25/20 14:50,22.5,52,12.2,,
142,09/25/20 15:00,22.5,52,12.2,,
143,09/25/20 15:10,22.5,52,12.2,,
144,09/25/20 15:20,22.5,52,12.2,,
145,09/25/20 15:30,22.5,52,12.2,,
146,09/25/20 15:40,23,52,12.6,,
147,09/25/20 15:50,23,52,12.6,,
148,09/25/20 16:00,23,52,12.6,,
149,09/25/20 16:10,23,52,12.6,,
150,09/25/20 16:20,23,52,12.6,,
151,09/25/20 16:30,23,52,12.6,,
152,09/25/20 16:40,23,52,12.6,,
153,09/25/20 16:50,23,52,12.6,,
154,09/25/20 17:00,23,52,12.6,,
155,09/25/20 17:10,23,52.5,12.8,,
156,09/25/20 17:20,23,52.5,12.8,,
157,09/25/20 17:30,23,52.5,12.8,,
158,09/25/20 17:40,23,52.5,12.8,,
159,09/25/20 17:50,23,53,12.9,,
160,09/25/20 18:00,23,53,12.9,,
161,09/25/20 18:10,23,53,12.9,,
162,09/25/20 18:20,23,53,12.9,,
163,09/25/20 18:30,23,53.5,13.1,,
164,09/25/20 18:40,23,53.5,13.1,,
165,09/25/20 18:50,23,53.5,13.1,,
166,09/25/20 19:00,23,53.5,13.1,,
167,09/25/20 19:10,23,53.5,13.1,,
168,09/25/20 19:20,23,53.5,13.1,,
169,09/25/20 19:30,23,53.5,13.1,,
170,09/25/20 19:40,23,54,13.2,,
171,09/25/20 19:50,23,54,13.2,,
172,09/25/20 20:00,23,54,13.2,,
173,09/25/20 20:10,23,54,13.2,,
174,09/25/20 20:20,23,54,13.2,,
175,09/25/20 20:30,23,54,13.2,,
176,09/25/20 20:40,23,54,13.2,,
177,09/25/20 20:50,23,54,13.2,,
178,09/25/20 21:00,23,54,13.2,,
179,09/25/20 21:10,23,54.5,13.3,,
180,09/25/20 21:20,23,54.5,13.3,,
181,09/25/20 21:30,22.5,54.5,12.9,,
182,09/25/20 21:40,22.5,54.5,12.9,,
183,09/25/20 21:50,22.5,54.5,12.9,,
184,09/25/20 22:00,22.5,54.5,12.9,,
185,09/25/20 22:10,23,54.5,13.3,,
186,09/25/20 22:20,23,55,13.5,,
187,09/25/20 22:30,23,55,13.5,,
188,09/25/20 22:40,23,55,13.5,,
189,09/25/20 22:50,23,54.5,13.3,,
190,09/25/20 23:00,23,54.5,13.3,,
191,09/25/20 23:10,23,54.5,13.3,,
192,09/25/20 23:20,23,54.5,13.3,,
193,09/25/20 23:30,23,54,13.2,,
194,09/25/20 23:40,23,54.5,13.3,,
195,09/25/20 23:50,22.5,54.5,12.9,,
196,09/26/20 0:00,22.5,54.5,12.9,,
197,09/26/20 0:10,22.5,54.5,12.9,,
198,09/26/20 0:20,22.5,54.5,12.9,,
199,09/26/20 0:30,22.5,54.5,12.9,,
200,09/26/20 0:40,22.5,55,13,,
201,09/26/20 0:50,23,55.5,13.6,,
202,09/26/20 1:00,23,55.5,13.6,,
203,09/26/20 1:10,23,55.5,13.6,,
204,09/26/20 1:20,23,55.5,13.6,,
205,09/26/20 1:30,23,55.5,13.6,,
206,09/26/20 1:40,23,55.5,13.6,,
207,09/26/20 1:50,23,55.5,13.6,,
208,09/26/20 2:00,23,55.5,13.6,,
209,09/26/20 2:10,23,55.5,13.6,,
210,09/26/20 2:20,23,55,13.5,,
211,09/26/20 2:30,23,55,13.5,,
212,09/26/20 2:40,23,55,13.5,,
213,09/26/20 2:50,23,55,13.5,,
214,09/26/20 3:00,23,55,13.5,,
215,09/26/20 3:10,23,56,13.8,,
216,09/26/20 3:20,23,56,13.8,,
217,09/26/20 3:30,23,56,13.8,,
218,09/26/20 3:40,23,56,13.8,,
219,09/26/20 3:50,23,56,13.8,,
220,09/26/20 4:00,23,56,13.8,,
221,09/26/20 4:10,23.5,55,13.9,,
222,09/26/20 4:20,24,54,14.1,,
223,09/26/20 4:30,24.5,53.5,14.4,,
224,09/26/20 4:40,24.5,53,14.3,,
225,09/26/20 4:50,25,52,14.5,,
226,09/26/20 5:00,24,53,13.8,,
227,09/26/20 5:10,24,54,14.1,,
228,09/26/20 5:20,23.5,54,13.7,,
229,09/26/20 5:30,23.5,54.5,13.8,,
230,09/26/20 5:40,23.5,55,13.9,,
231,09/26/20 5:50,23,55.5,13.6,,
232,09/26/20 6:00,23,56.5,13.9,,
233,09/26/20 6:10,23,56.5,13.9,,
234,09/26/20 6:20,23,57.5,14.2,,
235,09/26/20 6:30,23,58,14.3,,
236,09/26/20 6:40,23,58,14.3,,
237,09/26/20 6:50,23,58,14.3,,
238,09/26/20 7:00,22.5,58.5,14,,
239,09/26/20 7:10,22.5,58.5,14,,
240,09/26/20 7:20,22.5,58.5,14,,
241,09/26/20 7:30,22.5,58.5,14,,
242,09/26/20 7:40,22.5,58.5,14,,
243,09/26/20 7:50,22.5,59,14.1,,
244,09/26/20 8:00,22.5,58.5,14,,
245,09/26/20 8:10,22.5,59,14.1,,
246,09/26/20 8:20,22.5,59,14.1,,
247,09/26/20 8:30,22.5,59,14.1,,
248,09/26/20 8:40,22.5,59,14.1,,
249,09/26/20 8:50,22.5,59,14.1,,
250,09/26/20 9:00,22.5,59,14.1,,
251,09/26/20 9:10,22.5,59.5,14.2,,
252,09/26/20 9:20,22.5,59,14.1,,
253,09/26/20 9:30,22.5,59,14.1,,
254,09/26/20 9:40,22.5,59,14.1,,
255,09/26/20 9:50,22.5,58.5,14,,
256,09/26/20 10:00,22.5,58.5,14,,
257,09/26/20 10:10,22.5,58.5,14,,
258,09/26/20 10:20,22.5,58.5,14,,
259,09/26/20 10:30,22.5,58,13.8,,
260,09/26/20 10:40,22.5,58,13.8,,
261,09/26/20 10:50,22.5,58,13.8,,
262,09/26/20 11:00,22.5,58,13.8,,
263,09/26/20 11:10,22.5,58,13.8,,
264,09/26/20 11:20,22.5,58,13.8,,
265,09/26/20 11:30,22.5,58,13.8,,
266,09/26/20 11:40,22.5,57.5,13.7,,
267,09/26/20 11:50,22.5,57,13.6,,
268,09/26/20 12:00,22.5,56.5,13.4,,
269,09/26/20 12:10,23,55,13.5,,
270,09/26/20 12:20,23.5,53.5,13.5,,
271,09/26/20 12:30,24,53,13.8,,
272,09/26/20 12:40,24.5,53,14.3,,
273,09/26/20 12:50,24.5,51.5,13.9,,
274,09/26/20 13:00,24,52.5,13.7,,
275,09/26/20 13:10,23.5,53.5,13.5,,
276,09/26/20 13:20,23.5,54.5,13.8,,
277,09/26/20 13:30,23.5,55.5,14.1,,
278,09/26/20 13:40,23,55.5,13.6,,
279,09/26/20 13:50,23,55.5,13.6,,
280,09/26/20 14:00,23,55.5,13.6,,
281,09/26/20 14:10,23,55.5,13.6,,
282,09/26/20 14:20,23,55.5,13.6,,
283,09/26/20 14:30,23,55,13.5,,
284,09/26/20 14:40,23,55,13.5,,
285,09/26/20 14:50,23,55,13.5,,
286,09/26/20 15:00,23,55,13.5,,
287,09/26/20 15:10,23,55,13.5,,
288,09/26/20 15:20,23,54.5,13.3,,
289,09/26/20 15:30,23,54.5,13.3,,
290,09/26/20 15:40,22.5,54.5,12.9,,
291,09/26/20 15:50,22.5,54.5,12.9,,
292,09/26/20 16:00,22.5,54.5,12.9,,
293,09/26/20 16:10,22.5,55.5,13.2,,
294,09/26/20 16:20,22.5,55,13,,
295,09/26/20 16:30,22.5,55,13,,
296,09/26/20 16:40,23,54.5,13.3,,
297,09/26/20 16:50,23,54.5,13.3,,
298,09/26/20 17:00,23,54.5,13.3,,
299,09/26/20 17:10,23,54.5,13.3,,
300,09/26/20 17:20,23,54.5,13.3,,
301,09/26/20 17:30,23,54,13.2,,
302,09/26/20 17:40,23,53.5,13.1,,
303,09/26/20 17:50,23.5,52.5,13.2,,
304,09/26/20 18:00,24,51.5,13.4,,
305,09/26/20 18:10,24.5,51,13.7,,
306,09/26/20 18:20,25,50.5,14,,
307,09/26/20 18:30,24.5,51.5,13.9,,
308,09/26/20 18:40,24,52,13.5,,
309,09/26/20 18:50,23.5,52.5,13.2,,
310,09/26/20 19:00,23.5,53,13.4,,
311,09/26/20 19:10,23.5,53.5,13.5,,
312,09/26/20 19:20,23.5,53.5,13.5,,
313,09/26/20 19:30,23.5,53.5,13.5,,
314,09/26/20 19:40,23.5,53.5,13.5,,
315,09/26/20 19:50,23.5,54,13.7,,
316,09/26/20 20:00,23,54,13.2,,
317,09/26/20 20:10,23,54,13.2,,
318,09/26/20 20:20,23,54,13.2,,
319,09/26/20 20:30,23,54,13.2,,
320,09/26/20 20:40,23,54,13.2,,
321,09/26/20 20:50,23,54,13.2,,
322,09/26/20 21:00,23,54,13.2,,
323,09/26/20 21:10,23,54,13.2,,
324,09/26/20 21:20,23,54,13.2,,
325,09/26/20 21:30,23,54,13.2,,
326,09/26/20 21:40,23,54,13.2,,
327,09/26/20 21:50,23,53.5,13.1,,
328,09/26/20 22:00,23,53.5,13.1,,
329,09/26/20 22:10,23,53.5,13.1,,
330,09/26/20 22:20,23,53,12.9,,
331,09/26/20 22:30,23,53,12.9,,
332,09/26/20 22:40,23,53,12.9,,
333,09/26/20 22:50,23,53.5,13.1,,
334,09/26/20 23:00,23,53,12.9,,
335,09/26/20 23:10,23,52.5,12.8,,
336,09/26/20 23:20,23.5,52,13.1,,
337,09/26/20 23:30,24,51,13.2,,
338,09/26/20 23:40,24.5,51,13.7,,
339,09/26/20 23:50,24.5,50.5,13.6,,
340,09/27/20 0:00,24.5,50,13.4,,
341,09/27/20 0:10,24,50.5,13.1,,
342,09/27/20 0:20,23.5,52.5,13.2,,
343,09/27/20 0:30,23.5,53,13.4,,
344,09/27/20 0:40,23.5,53.5,13.5,,
345,09/27/20 0:50,23.5,53.5,13.5,,
346,09/27/20 1:00,23.5,54,13.7,,
347,09/27/20 1:10,23.5,54,13.7,,
348,09/27/20 1:20,23,54,13.2,,
349,09/27/20 1:30,23,54.5,13.3,,
350,09/27/20 1:40,23,54.5,13.3,,
351,09/27/20 1:50,23.5,54,13.7,,
352,09/27/20 2:00,24,53.5,14,,
353,09/27/20 2:10,24.5,52.5,14.1,,
354,09/27/20 2:20,24.5,52,14,,
355,09/27/20 2:30,24.5,51.5,13.9,,
356,09/27/20 2:40,24.5,52,14,,
357,09/27/20 2:50,24,52.5,13.7,,
358,09/27/20 3:00,24,53.5,14,,
359,09/27/20 3:10,23.5,53.5,13.5,,
360,09/27/20 3:20,23.5,53.5,13.5,,
361,09/27/20 3:30,23.5,54.5,13.8,,
362,09/27/20 3:40,23,54.5,13.3,,
363,09/27/20 3:50,23,54.5,13.3,,
364,09/27/20 4:00,23,55,13.5,,
365,09/27/20 4:10,23,55,13.5,,
366,09/27/20 4:20,23,55,13.5,,
367,09/27/20 4:30,23,55,13.5,,
368,09/27/20 4:40,23,55,13.5,,
369,09/27/20 4:50,23,55,13.5,,
370,09/27/20 5:00,23.5,54,13.7,,
371,09/27/20 5:10,24,51.5,13.4,,
372,09/27/20 5:20,24.5,51,13.7,,
373,09/27/20 5:30,24.5,51,13.7,,
374,09/27/20 5:40,24.5,50.5,13.6,,
375,09/27/20 5:50,24,51.5,13.4,,
376,09/27/20 6:00,23.5,51.5,12.9,,
377,09/27/20 6:10,23.5,52.5,13.2,,
378,09/27/20 6:20,23.5,53,13.4,,
379,09/27/20 6:30,23.5,53,13.4,,
380,09/27/20 6:40,23,53.5,13.1,,
381,09/27/20 6:50,23,53.5,13.1,,
382,09/27/20 7:00,23,53,12.9,,
383,09/27/20 7:10,23,53.5,13.1,,
384,09/27/20 7:20,23,53.5,13.1,,
385,09/27/20 7:30,23,54.5,13.3,,
386,09/27/20 7:40,23,55,13.5,,
387,09/27/20 7:50,23,55.5,13.6,,
388,09/27/20 8:00,23,55.5,13.6,,
389,09/27/20 8:10,23,55.5,13.6,,
390,09/27/20 8:20,22.5,56,13.3,,
391,09/27/20 8:30,22.5,56,13.3,,
392,09/27/20 8:40,22.5,56,13.3,,
393,09/27/20 8:50,22.5,56,13.3,,
394,09/27/20 9:00,22.5,56.5,13.4,,
395,09/27/20 9:10,22.5,56.5,13.4,,
396,09/27/20 9:20,22.5,56.5,13.4,,
397,09/27/20 9:30,22.5,57,13.6,,
398,09/27/20 9:40,22.5,57,13.6,,
399,09/27/20 9:50,22.5,57,13.6,,
400,09/27/20 10:00,22.5,57,13.6,,
401,09/27/20 10:10,22.5,57,13.6,,
402,09/27/20 10:20,22.5,57,13.6,,
403,09/27/20 10:30,22.5,57,13.6,,
404,09/27/20 10:40,22.5,57.5,13.7,,
405,09/27/20 10:50,22.5,57.5,13.7,,
406,09/27/20 11:00,22.5,57.5,13.7,,
407,09/27/20 11:10,22.5,57.5,13.7,,
408,09/27/20 11:20,22.5,57.5,13.7,,
409,09/27/20 11:30,22.5,57.5,13.7,,
410,09/27/20 11:40,22.5,57.5,13.7,,
411,09/27/20 11:50,22.5,57.5,13.7,,
412,09/27/20 12:00,22.5,57.5,13.7,,
413,09/27/20 12:10,22.5,57.5,13.7,,
414,09/27/20 12:20,22.5,57.5,13.7,,
415,09/27/20 12:30,22.5,57.5,13.7,,
416,09/27/20 12:40,22.5,57.5,13.7,,
417,09/27/20 12:50,22.5,57.5,13.7,,
418,09/27/20 13:00,22.5,57.5,13.7,,
419,09/27/20 13:10,22.5,57.5,13.7,,
420,09/27/20 13:20,22.5,57.5,13.7,,
421,09/27/20 13:30,22.5,57.5,13.7,,
422,09/27/20 13:40,22.5,57.5,13.7,,
423,09/27/20 13:50,22.5,57.5,13.7,,
424,09/27/20 14:00,22.5,57.5,13.7,,
425,09/27/20 14:10,22.5,57.5,13.7,,
426,09/27/20 14:20,22.5,57.5,13.7,,
427,09/27/20 14:30,22.5,57.5,13.7,,
428,09/27/20 14:40,22.5,57.5,13.7,,
429,09/27/20 14:50,22.5,57.5,13.7,,
430,09/27/20 15:00,22.5,57.5,13.7,,
431,09/27/20 15:10,22.5,57.5,13.7,,
432,09/27/20 15:20,22.5,57.5,13.7,,
433,09/27/20 15:30,22.5,57.5,13.7,,
434,09/27/20 15:40,22.5,57.5,13.7,,
435,09/27/20 15:50,22.5,57.5,13.7,,
436,09/27/20 16:00,22.5,57.5,13.7,,
437,09/27/20 16:10,22.5,57.5,13.7,,
438,09/27/20 16:20,22.5,57.5,13.7,,
439,09/27/20 16:30,22.5,57.5,13.7,,
440,09/27/20 16:40,22.5,57.5,13.7,,
441,09/27/20 16:50,22.5,57.5,13.7,,
442,09/27/20 17:00,22.5,57.5,13.7,,
443,09/27/20 17:10,22.5,57.5,13.7,,
444,09/27/20 17:20,22.5,57.5,13.7,,
445,09/27/20 17:30,22.5,56.5,13.4,,
446,09/27/20 17:40,22.5,56,13.3,,
447,09/27/20 17:50,22.5,55,13,,
448,09/27/20 18:00,22.5,54,12.7,,
449,09/27/20 18:10,22.5,53.5,12.6,,
450,09/27/20 18:20,22.5,52.5,12.3,,
451,09/27/20 18:30,22.5,52,12.2,,
452,09/27/20 18:40,22.5,51,11.9,,
453,09/27/20 18:50,22.5,50.5,11.7,,
454,09/27/20 19:00,22.5,50,11.6,,
455,09/27/20 19:10,22.5,49.5,11.4,,
456,09/27/20 19:20,22.5,49,11.3,,
457,09/27/20 19:30,23,48.5,11.6,,
458,09/27/20 19:40,23.5,47,11.5,,
459,09/27/20 19:50,24,46,11.7,,
460,09/27/20 20:00,24,45,11.3,,
461,09/27/20 20:10,24,44.5,11.2,,
462,09/27/20 20:20,24.5,44,11.5,,
463,09/27/20 20:30,24,44.5,11.2,,
464,09/27/20 20:40,23.5,45,10.9,,
465,09/27/20 20:50,23,45.5,10.6,,
466,09/27/20 21:00,23,46,10.8,,
467,09/27/20 21:10,23,46,10.8,,
468,09/27/20 21:20,23,46.5,10.9,,
469,09/27/20 21:30,23,46.5,10.9,,
470,09/27/20 21:40,22.5,46.5,10.5,,
471,09/27/20 21:50,22.5,47,10.6,,
472,09/27/20 22:00,22.5,47.5,10.8,,
473,09/27/20 22:10,22.5,47.5,10.8,,
474,09/27/20 22:20,22.5,48,10.9,,
475,09/27/20 22:30,22.5,48,10.9,,
476,09/27/20 22:40,22.5,48.5,11.1,,
477,09/27/20 22:50,22.5,48.5,11.1,,
478,09/27/20 23:00,22.5,49,11.3,,
479,09/27/20 23:10,22.5,49,11.3,,
480,09/27/20 23:20,22.5,49,11.3,,
481,09/27/20 23:30,23,48,11.4,,
482,09/27/20 23:40,24,47,12,,
483,09/27/20 23:50,24,46.5,11.8,,
484,09/28/20 0:00,24.5,46,12.1,,
485,09/28/20 0:10,24.5,45.5,12,,
486,09/28/20 0:20,24,46.5,11.8,,
487,09/28/20 0:30,23.5,47,11.5,,
488,09/28/20 0:40,23.5,47.5,11.7,,
489,09/28/20 0:50,23,47.5,11.2,,
490,09/28/20 1:00,23,47.5,11.2,,
491,09/28/20 1:10,23,48.5,11.6,,
492,09/28/20 1:20,23,48.5,11.6,,
493,09/28/20 1:30,23,49.5,11.9,,
494,09/28/20 1:40,23,49.5,11.9,,
495,09/28/20 1:50,23,49.5,11.9,,
496,09/28/20 2:00,23,50,12,,
497,09/28/20 2:10,23,49,11.7,,
498,09/28/20 2:20,23.5,48,11.9,,
499,09/28/20 2:30,24,47,12,,
500,09/28/20 2:40,24.5,46.5,12.3,,
501,09/28/20 2:50,24.5,46.5,12.3,,
502,09/28/20 3:00,24.5,46.5,12.3,,
503,09/28/20 3:10,24,47,12,,
504,09/28/20 3:20,23.5,47.5,11.7,,
505,09/28/20 3:30,23.5,47.5,11.7,,
506,09/28/20 3:40,23,48,11.4,,
507,09/28/20 3:50,23,48,11.4,,
508,09/28/20 4:00,23,48.5,11.6,,
509,09/28/20 4:10,23,48.5,11.6,,
510,09/28/20 4:20,23,48.5,11.6,,
511,09/28/20 4:30,23,49,11.7,,
512,09/28/20 4:40,23,48.5,11.6,,
513,09/28/20 4:50,23,48,11.4,,
514,09/28/20 5:00,23.5,47,11.5,,
515,09/28/20 5:10,24,46.5,11.8,,
516,09/28/20 5:20,24,46.5,11.8,,
517,09/28/20 5:30,24.5,45.5,12,,
518,09/28/20 5:40,24,46.5,11.8,,
519,09/28/20 5:50,23.5,47,11.5,,
520,09/28/20 6:00,23,47.5,11.2,,
521,09/28/20 6:10,23,48,11.4,,
522,09/28/20 6:20,23,48,11.4,,
523,09/28/20 6:30,23,48.5,11.6,,
524,09/28/20 6:40,23,48.5,11.6,,
525,09/28/20 6:50,22.5,48.5,11.1,,
526,09/28/20 7:00,22.5,49,11.3,,
527,09/28/20 7:10,22.5,49,11.3,,
528,09/28/20 7:20,22.5,49,11.3,,
529,09/28/20 7:30,22.5,49.5,11.4,,
530,09/28/20 7:40,22.5,49.5,11.4,,
531,09/28/20 7:50,22.5,49.5,11.4,,
532,09/28/20 8:00,22.5,49.5,11.4,,
533,09/28/20 8:10,22.5,49.5,11.4,,
534,09/28/20 8:20,22.5,49.5,11.4,,
535,09/28/20 8:30,22.5,49.5,11.4,,
536,09/28/20 8:40,22.5,49,11.3,,
537,09/28/20 8:50,23,48,11.4,,
538,09/28/20 9:00,23.5,47.5,11.7,,
539,09/28/20 9:10,24,47,12,,
540,09/28/20 9:20,24,46.5,11.8,,
541,09/28/20 9:30,24,46.5,11.8,,
542,09/28/20 9:40,23.5,47,11.5,,
543,09/28/20 9:50,23,47,11.1,,
544,09/28/20 10:00,23,47.5,11.2,,
545,09/28/20 10:10,23,47.5,11.2,,
546,09/28/20 10:20,23,47.5,11.2,,
547,09/28/20 10:30,22.5,47.5,10.8,,
548,09/28/20 10:40,22.5,47.5,10.8,,
549,09/28/20 10:50,22.5,48,10.9,,
550,09/28/20 11:00,22.5,48,10.9,,
551,09/28/20 11:10,22.5,47.5,10.8,,
552,09/28/20 11:20,23,46.5,10.9,,
553,09/28/20 11:30,23.5,46,11.2,,
554,09/28/20 11:40,24,45,11.3,,
555,09/28/20 11:50,24,45,11.3,,
556,09/28/20 12:00,24,44,11,,
557,09/28/20 12:10,24,44,11,,
558,09/28/20 12:20,24,43.5,10.8,,
559,09/28/20 12:30,23.5,44,10.6,,
560,09/28/20 12:40,23.5,44,10.6,,
561,09/28/20 12:50,23,44.5,10.3,,
562,09/28/20 13:00,23,45,10.4,,
563,09/28/20 13:10,23,45.5,10.6,,
564,09/28/20 13:20,23,45.5,10.6,,
565,09/28/20 13:30,23,45.5,10.6,,
566,09/28/20 13:40,22.5,45.5,10.1,,
567,09/28/20 13:50,22.5,45,10,,
568,09/28/20 14:00,22.5,45,10,,
569,09/28/20 14:10,22.5,45,10,,
570,09/28/20 14:20,22.5,45,10,,
571,09/28/20 14:30,22.5,45,10,,
572,09/28/20 14:40,22.5,45,10,,
573,09/28/20 14:50,22.5,45,10,,
574,09/28/20 15:00,22.5,45,10,,
575,09/28/20 15:10,22.5,44.5,9.8,,
576,09/28/20 15:20,22.5,44.5,9.8,,
577,09/28/20 15:30,22.5,44,9.6,,
578,09/28/20 15:40,22.5,44,9.6,,
579,09/28/20 15:50,22.5,44,9.6,,
580,09/28/20 16:00,22.5,44,9.6,,
